Unique_ID,Subregion,E/I,"Axonal-dendritic pattern (ax=1, de=2)",p,Projection patterning,Hippocampome neuronal  class,Neurite,Neurite_ID,Total_length (micron),%_of_neurite_tree,Density,Avg_max_path_length (micron),Avg_mean_path_length (micron),Reference_ID
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SM:D,68,9432.4576561528,77.798793119,0.0240488885,535.0265957447,299.5678191489,800000
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SM:A,67,950.8895724679,22.1905101677,0.0017316981,253.1914893617,126.5957446809,800000
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SP:D,71,2691.7119845354,22.201206881,0.0112656874,161.9747340426,93.7832446809,800000
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SP:A,70,2131.0933505149,49.7324295398,0.0063709405,1136.4361702128,568.2180851064,800000
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:PL:A,73,1203.1351986049,28.0770602925,0.0032948998,978.6968085106,700.4986702128,800000
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SM:D,68,4857.7604102902,50.9556907037,0.0160417935,692.2334293948,404.711815562,800002
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SM:A,67,1205.9504104659,20.687695368,0.002489008,709.1930835735,425.0144092219,800002
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SP:D,71,4675.542628489,49.0443092963,0.0200634424,182.5,100.2161383285,800002
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:SP:A,70,3708.9601222983,63.6260301222,0.009947309,880.9798270893,440.5187319885,800002
5001,Sub,E,331,p,CA1_1110,SUB CA1-Proj Pyramidal,Sub:PL:A,73,914.401959584,15.6862745098,0.0017904058,1210.1873198847,817.9899135447,800002
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,Sub:SM:D,68,14612.3839462475,67.8741509876,0.0248367357,805.1608187135,431.7543859649,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,Sub:SM:A,67,33802.552925268,44.1626409018,0.0344726122,653.4795321637,400.0584795322,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,Sub:SP:D,71,6916.2594822646,32.1258490124,0.0252958353,189.2763157895,118.6915204678,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,Sub:SP:A,70,22712.4470968818,29.6735470649,0.0498417089,1228.6549707602,614.3274853801,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,Sub:PL:A,73,13008.9546519387,16.9960474308,0.0287511453,,1291.3888888889,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,CA1:SLM:A,52,3742.4555157171,4.8894744547,0.0147219253,1237.4269005848,1176.4912280702,800004
5005,Sub,E,331,p,EC_000111,SUB EC-Proj Pyramidal,CA1:SR:A,55,3274.6485762525,4.2782901479,0.0236975471,1094.0058479532,978.1432748538,800004
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:D,68,354.9600973653,50.2608695652,0.0052445332,152.8888888889,120.9658119658,800006
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:A,67,604.2919304627,14.7836538462,0.0044642047,224.2735042735,190.1282051282,800006
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SP:D,71,351.2753904722,49.7391304348,0.0030977525,80.0170940171,44.3931623932,800006
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SP:A,70,3483.276249578,85.2163461538,0.0153587869,209.8290598291,123.6752136752,800006
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:D,68,790.9837463781,85.5245683931,0.0116867798,80.4102564103,40.2051282051,800008
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:A,67,746.7672636613,25.9385665529,0.0055167408,75.452991453,37.7264957265,800008
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SP:D,71,133.8776837814,14.4754316069,0.001180612,92.6666666667,72.8034188034,800008
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SP:A,70,2132.2170554539,74.0614334471,0.0094015705,261.1025641026,165.1709401709,800008
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:D,68,1132.4332518021,100,0.016731694,108.5299145299,62.2564102564,800010
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SM:A,67,569.9013327941,16.9219547775,0.0042101443,80.4102564103,40.2051282051,800010
5002,Sub,I,210,,,SUB Axo-axonic,Sub:SP:A,70,2797.9207674678,83.0780452225,0.0123368535,327.4786324786,216.0341880342,800010
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:D,47,5089.7561896085,25.7084759723,0.0602979885,267.9432624113,,800012
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SO:A,46,154.9144855468,52.0547945205,0.0009176306,78.7234042553,,800012
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:D,44,414.2943314129,2.0926102288,0.0097390929,40.390070922,,800012
3000,CA2,E,2333,p,DG 0001-CA3 01011-CA1 0111,CA2 Pyramidal,CA2:SP:A,43,142.6843945825,47.9452054795,0.0025156329,,,800012
