UniqueIDs,Names,Abbreviations,EorI,DG:SMo,DG:SMi,DG:SG,DG:H,CA3:SLM,CA3:SR,CA3:SL,CA3:SP,CA3:SO,CA2:SLM,CA2:SR,CA2:SP,CA2:SO,CA1:SLM,CA1:SR,CA1:SP,CA1:SO,Sub:SM,Sub:SP,Sub:PL,EC:I,EC:II,EC:III,EC:IV,EC:V,EC:VI
1000,Granule,GC,E,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,Hilar Ectopic Granule,HEGC,E,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001,Semilunar Granule,SGC,E,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,Mossy,MC,E,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Mossy MOLDEN,MC MOLDEN,E,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,AIPRIM,AIPRIM,I,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,DG Axo-Axonic,DG AA,I,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,DG Basket,DG BC,I,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1036,DG BC CCK+,DG BC CCK+,I,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,HICAP,HICAP,I,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,HIPP,HIPP,I,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1026,HIPROM,HIPROM,I,1,3,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040,MOCAP,MOCAP,I,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,MOLAX,MOLAX,I,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,MOPP,MOPP,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,DG Neurogliaform,DG NGF,I,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1006,Outer Molecular Layer,OML,I,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,Total Molecular Layer,TML,I,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,CA3 Pyramidal,CA3 PC,E,0,0,0,0,2,3,2,2,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2004,CA3c Pyramidal,CA3c PC,E,0,1,0,1,0,3,2,2,3,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2003,CA3 Giant,CA3 Giant,E,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,CA3 Granule,CA3 GC,E,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,CA3 Axo-Axonic,CA3 AA,I,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2047,CA3 Horizontal AA,CA3 Horiz AA,I,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,CA3 Basket,CA3 BC,I,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,CA3 BC CCK+,CA3 BC CCK+,I,0,0,0,0,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,CA3 Bistratified,CA3 Bistrat,I,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,CA3 IS Oriens,CA3 IS Oriens,I,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,CA3 IS Quad,CA3 IS Quad,I,0,0,0,3,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,CA3 Ivy,CA3 Ivy,I,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,CA3 LMR-Targeting,CA3 LMR-Target,I,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Lucidum LAX,LC LAX,I,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Lucidum ORAX,LC ORAX,I,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Lucidum-Radiatum,LR,I,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Spiny Lucidum,SLC,I,1,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,Mossy Fiber-Associated,MFA,I,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,MFA ORDEN,MFA ORDEN,I,0,0,0,1,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,CA3 O-LM,CA3 O-LM,I,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,CA3 QuadD-LM,CA3 QuadD-LM,I,0,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,CA3 Radiatum,CA3 R,I,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,CA3 R-LM,CA3 R-LM,I,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,CA3 SO-SO,CA3 SO-SO,I,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,CA3 Trilaminar,CA3 Trilam,I,0,0,0,0,0,1,1,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
3000,CA2 Pyramidal,CA2 PC,E,0,0,0,1,0,1,0,1,1,2,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0
3006,CA2 Basket,CA2 BC,I,0,0,0,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3007,CA2 Wide-Arbor BC,CA2 Wide BC,I,0,0,0,0,0,0,0,3,0,2,2,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0
3003,CA2 Bistratified,CA2 Bistrat,I,0,0,0,0,0,0,0,0,0,0,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0
3008,CA2 SP-SR,CA2 SP-SR,I,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
